,a,b,c,d,e,f,g
1,47,31,19,21,82,65,48
2,10,29,99,97,19,27,97
3,26,91,88,33,98,12,72
4,12,63,29,66,16,33,50
5,40,72,65,44,73,82,94
6,22,65,87,32,35,49,29
7,45,12,69,34,45,43,84
8,92,48,70,44,90,68,92
9,61,28,93,23,29,15,98
10,89,21,51,62,15,70,35
11,93,86,43,14,46,45,19
12,44,24,24,33,72,87,20
13,42,20,69,53,86,95,92
14,27,75,98,97,30,74,77
15,23,65,90,42,22,51,92
16,80,38,82,87,10,89,98
17,93,12,11,88,51,35,39
18,61,30,98,61,66,98,23
19,67,77,66,82,44,25,30
20,42,23,79,63,43,21,83
21,20,94,62,82,80,32,77
22,22,90,86,74,76,36,36
23,79,61,42,98,44,19,65
24,19,62,71,99,83,96,59
25,72,62,67,80,17,87,12
26,89,39,54,99,53,47,75
27,14,57,21,85,39,69,83
28,21,82,28,32,35,48,53
29,85,76,22,35,76,82,61
30,96,63,98,68,28,37,92
31,21,83,29,92,48,64,25
32,46,39,86,75,19,52,79
33,81,28,50,13,32,73,88
34,15,79,40,72,84,62,43
35,27,95,11,86,21,99,86
36,97,49,35,27,70,31,78
37,73,49,26,30,42,38,19
38,97,35,76,16,67,13,34
39,86,73,32,77,84,23,37
40,26,35,62,36,37,86,57
41,46,40,52,91,54,20,62
42,29,37,36,44,71,21,31
43,82,60,18,72,72,33,82
44,11,91,60,21,47,19,66
45,11,12,85,81,57,18,46
46,59,79,33,63,14,89,51
47,46,35,72,18,57,61,47
48,91,26,31,40,77,11,96
49,33,49,50,70,31,86,32
50,12,33,68,32,19,35,12
